date.0,date.1,date.2,date.3,date.4,date.5,date.6,date.7,date.8
1966-03-01,01/03/1966,03/01/1966,"1st March, 1966","March 1st, 1966",1966/03/01,"March 1st, 1966",01-03-1966,01 Mar 1966
2025-10-09,09/10/2025,10/09/2025,"9th October, 2025","October 9th, 2025",2025/10/09,"October 9th, 2025",09-10-2025,09 Oct 2025
1913-12-27,27/12/1913,12/27/1913,"27th December, 1913","December 27th, 1913",1913/12/27,"December 27th, 1913",27-12-1913,27 Dec 1913
2089-01-19,19/01/2089,01/19/2089,"19th January, 2089","January 19th, 2089",2089/01/19,"January 19th, 2089",19-01-2089,19 Jan 2089
1986-07-04,04/07/1986,07/04/1986,"4th July, 1986","July 4th, 1986",1986/07/04,"July 4th, 1986",04-07-1986,04 Jul 1986
1945-08-09,09/08/1945,08/09/1945,"9th August, 1945","August 9th, 1945",1945/08/09,"August 9th, 1945",09-08-1945,09 Aug 1945
2024-07-23,23/07/2024,07/23/2024,"23rd July, 2024","July 23rd, 2024",2024/07/23,"July 23rd, 2024",23-07-2024,23 Jul 2024
2068-04-22,22/04/2068,04/22/2068,"22nd April, 2068","April 22nd, 2068",2068/04/22,"April 22nd, 2068",22-04-2068,22 Apr 2068
1956-01-25,25/01/1956,01/25/1956,"25th January, 1956","January 25th, 1956",1956/01/25,"January 25th, 1956",25-01-1956,25 Jan 1956
1966-02-09,09/02/1966,02/09/1966,"9th February, 1966","February 9th, 1966",1966/02/09,"February 9th, 1966",09-02-1966,09 Feb 1966
1914-07-21,21/07/1914,07/21/1914,"21st July, 1914","July 21st, 1914",1914/07/21,"July 21st, 1914",21-07-1914,21 Jul 1914
2017-12-30,30/12/2017,12/30/2017,"30th December, 2017","December 30th, 2017",2017/12/30,"December 30th, 2017",30-12-2017,30 Dec 2017
1947-12-03,03/12/1947,12/03/1947,"3rd December, 1947","December 3rd, 1947",1947/12/03,"December 3rd, 1947",03-12-1947,03 Dec 1947
1972-05-19,19/05/1972,05/19/1972,"19th May, 1972","May 19th, 1972",1972/05/19,"May 19th, 1972",19-05-1972,19 May 1972
1952-04-12,12/04/1952,04/12/1952,"12th April, 1952","April 12th, 1952",1952/04/12,"April 12th, 1952",12-04-1952,12 Apr 1952
1972-06-08,08/06/1972,06/08/1972,"8th June, 1972","June 8th, 1972",1972/06/08,"June 8th, 1972",08-06-1972,08 Jun 1972
2091-05-11,11/05/2091,05/11/2091,"11th May, 2091","May 11th, 2091",2091/05/11,"May 11th, 2091",11-05-2091,11 May 2091
2024-01-16,16/01/2024,01/16/2024,"16th January, 2024","January 16th, 2024",2024/01/16,"January 16th, 2024",16-01-2024,16 Jan 2024
1999-04-28,28/04/1999,04/28/1999,"28th April, 1999","April 28th, 1999",1999/04/28,"April 28th, 1999",28-04-1999,28 Apr 1999
1971-08-15,15/08/1971,08/15/1971,"15th August, 1971","August 15th, 1971",1971/08/15,"August 15th, 1971",15-08-1971,15 Aug 1971
2024-05-19,19/05/2024,05/19/2024,"19th May, 2024","May 19th, 2024",2024/05/19,"May 19th, 2024",19-05-2024,19 May 2024
2002-03-28,28/03/2002,03/28/2002,"28th March, 2002","March 28th, 2002",2002/03/28,"March 28th, 2002",28-03-2002,28 Mar 2002
2028-10-26,26/10/2028,10/26/2028,"26th October, 2028","October 26th, 2028",2028/10/26,"October 26th, 2028",26-10-2028,26 Oct 2028
2035-10-08,08/10/2035,10/08/2035,"8th October, 2035","October 8th, 2035",2035/10/08,"October 8th, 2035",08-10-2035,08 Oct 2035
2094-04-18,18/04/2094,04/18/2094,"18th April, 2094","April 18th, 2094",2094/04/18,"April 18th, 2094",18-04-2094,18 Apr 2094
1993-11-19,19/11/1993,11/19/1993,"19th November, 1993","November 19th, 1993",1993/11/19,"November 19th, 1993",19-11-1993,19 Nov 1993
2070-11-04,04/11/2070,11/04/2070,"4th November, 2070","November 4th, 2070",2070/11/04,"November 4th, 2070",04-11-2070,04 Nov 2070
2087-11-20,20/11/2087,11/20/2087,"20th November, 2087","November 20th, 2087",2087/11/20,"November 20th, 2087",20-11-2087,20 Nov 2087
2077-08-13,13/08/2077,08/13/2077,"13th August, 2077","August 13th, 2077",2077/08/13,"August 13th, 2077",13-08-2077,13 Aug 2077
2024-05-31,31/05/2024,05/31/2024,"31st May, 2024","May 31st, 2024",2024/05/31,"May 31st, 2024",31-05-2024,31 May 2024
2030-01-22,22/01/2030,01/22/2030,"22nd January, 2030","January 22nd, 2030",2030/01/22,"January 22nd, 2030",22-01-2030,22 Jan 2030
2071-04-22,22/04/2071,04/22/2071,"22nd April, 2071","April 22nd, 2071",2071/04/22,"April 22nd, 2071",22-04-2071,22 Apr 2071
2012-12-02,02/12/2012,12/02/2012,"2nd December, 2012","December 2nd, 2012",2012/12/02,"December 2nd, 2012",02-12-2012,02 Dec 2012
1946-08-23,23/08/1946,08/23/1946,"23rd August, 1946","August 23rd, 1946",1946/08/23,"August 23rd, 1946",23-08-1946,23 Aug 1946
2099-07-02,02/07/2099,07/02/2099,"2nd July, 2099","July 2nd, 2099",2099/07/02,"July 2nd, 2099",02-07-2099,02 Jul 2099
1922-02-22,22/02/1922,02/22/1922,"22nd February, 1922","February 22nd, 1922",1922/02/22,"February 22nd, 1922",22-02-1922,22 Feb 1922
1981-01-22,22/01/1981,01/22/1981,"22nd January, 1981","January 22nd, 1981",1981/01/22,"January 22nd, 1981",22-01-1981,22 Jan 1981
1906-08-03,03/08/1906,08/03/1906,"3rd August, 1906","August 3rd, 1906",1906/08/03,"August 3rd, 1906",03-08-1906,03 Aug 1906
1934-01-19,19/01/1934,01/19/1934,"19th January, 1934","January 19th, 1934",1934/01/19,"January 19th, 1934",19-01-1934,19 Jan 1934
2066-01-18,18/01/2066,01/18/2066,"18th January, 2066","January 18th, 2066",2066/01/18,"January 18th, 2066",18-01-2066,18 Jan 2066
1998-02-21,21/02/1998,02/21/1998,"21st February, 1998","February 21st, 1998",1998/02/21,"February 21st, 1998",21-02-1998,21 Feb 1998
1995-08-06,06/08/1995,08/06/1995,"6th August, 1995","August 6th, 1995",1995/08/06,"August 6th, 1995",06-08-1995,06 Aug 1995
1927-11-09,09/11/1927,11/09/1927,"9th November, 1927","November 9th, 1927",1927/11/09,"November 9th, 1927",09-11-1927,09 Nov 1927
1985-09-22,22/09/1985,09/22/1985,"22nd September, 1985","September 22nd, 1985",1985/09/22,"September 22nd, 1985",22-09-1985,22 Sep 1985
1963-06-05,05/06/1963,06/05/1963,"5th June, 1963","June 5th, 1963",1963/06/05,"June 5th, 1963",05-06-1963,05 Jun 1963
2012-05-06,06/05/2012,05/06/2012,"6th May, 2012","May 6th, 2012",2012/05/06,"May 6th, 2012",06-05-2012,06 May 2012
1963-01-30,30/01/1963,01/30/1963,"30th January, 1963","January 30th, 1963",1963/01/30,"January 30th, 1963",30-01-1963,30 Jan 1963
1968-04-04,04/04/1968,04/04/1968,"4th April, 1968","April 4th, 1968",1968/04/04,"April 4th, 1968",04-04-1968,04 Apr 1968
2036-05-31,31/05/2036,05/31/2036,"31st May, 2036","May 31st, 2036",2036/05/31,"May 31st, 2036",31-05-2036,31 May 2036
2048-02-01,01/02/2048,02/01/2048,"1st February, 2048","February 1st, 2048",2048/02/01,"February 1st, 2048",01-02-2048,01 Feb 2048
2049-02-24,24/02/2049,02/24/2049,"24th February, 2049","February 24th, 2049",2049/02/24,"February 24th, 2049",24-02-2049,24 Feb 2049
1963-02-06,06/02/1963,02/06/1963,"6th February, 1963","February 6th, 1963",1963/02/06,"February 6th, 1963",06-02-1963,06 Feb 1963
2035-08-13,13/08/2035,08/13/2035,"13th August, 2035","August 13th, 2035",2035/08/13,"August 13th, 2035",13-08-2035,13 Aug 2035
1939-01-20,20/01/1939,01/20/1939,"20th January, 1939","January 20th, 1939",1939/01/20,"January 20th, 1939",20-01-1939,20 Jan 1939
1914-09-21,21/09/1914,09/21/1914,"21st September, 1914","September 21st, 1914",1914/09/21,"September 21st, 1914",21-09-1914,21 Sep 1914
1984-10-22,22/10/1984,10/22/1984,"22nd October, 1984","October 22nd, 1984",1984/10/22,"October 22nd, 1984",22-10-1984,22 Oct 1984
2033-02-23,23/02/2033,02/23/2033,"23rd February, 2033","February 23rd, 2033",2033/02/23,"February 23rd, 2033",23-02-2033,23 Feb 2033
2054-04-02,02/04/2054,04/02/2054,"2nd April, 2054","April 2nd, 2054",2054/04/02,"April 2nd, 2054",02-04-2054,02 Apr 2054
1926-02-10,10/02/1926,02/10/1926,"10th February, 1926","February 10th, 1926",1926/02/10,"February 10th, 1926",10-02-1926,10 Feb 1926
2019-04-15,15/04/2019,04/15/2019,"15th April, 2019","April 15th, 2019",2019/04/15,"April 15th, 2019",15-04-2019,15 Apr 2019
2044-03-05,05/03/2044,03/05/2044,"5th March, 2044","March 5th, 2044",2044/03/05,"March 5th, 2044",05-03-2044,05 Mar 2044
1972-06-01,01/06/1972,06/01/1972,"1st June, 1972","June 1st, 1972",1972/06/01,"June 1st, 1972",01-06-1972,01 Jun 1972
2032-09-19,19/09/2032,09/19/2032,"19th September, 2032","September 19th, 2032",2032/09/19,"September 19th, 2032",19-09-2032,19 Sep 2032
2082-02-10,10/02/2082,02/10/2082,"10th February, 2082","February 10th, 2082",2082/02/10,"February 10th, 2082",10-02-2082,10 Feb 2082
2077-05-13,13/05/2077,05/13/2077,"13th May, 2077","May 13th, 2077",2077/05/13,"May 13th, 2077",13-05-2077,13 May 2077
1902-10-12,12/10/1902,10/12/1902,"12th October, 1902","October 12th, 1902",1902/10/12,"October 12th, 1902",12-10-1902,12 Oct 1902
1987-01-17,17/01/1987,01/17/1987,"17th January, 1987","January 17th, 1987",1987/01/17,"January 17th, 1987",17-01-1987,17 Jan 1987
1962-04-12,12/04/1962,04/12/1962,"12th April, 1962","April 12th, 1962",1962/04/12,"April 12th, 1962",12-04-1962,12 Apr 1962
1926-09-02,02/09/1926,09/02/1926,"2nd September, 1926","September 2nd, 1926",1926/09/02,"September 2nd, 1926",02-09-1926,02 Sep 1926
1975-03-31,31/03/1975,03/31/1975,"31st March, 1975","March 31st, 1975",1975/03/31,"March 31st, 1975",31-03-1975,31 Mar 1975
2062-05-31,31/05/2062,05/31/2062,"31st May, 2062","May 31st, 2062",2062/05/31,"May 31st, 2062",31-05-2062,31 May 2062
1995-10-16,16/10/1995,10/16/1995,"16th October, 1995","October 16th, 1995",1995/10/16,"October 16th, 1995",16-10-1995,16 Oct 1995
2006-04-13,13/04/2006,04/13/2006,"13th April, 2006","April 13th, 2006",2006/04/13,"April 13th, 2006",13-04-2006,13 Apr 2006
1925-02-04,04/02/1925,02/04/1925,"4th February, 1925","February 4th, 1925",1925/02/04,"February 4th, 1925",04-02-1925,04 Feb 1925
1954-03-24,24/03/1954,03/24/1954,"24th March, 1954","March 24th, 1954",1954/03/24,"March 24th, 1954",24-03-1954,24 Mar 1954
1998-06-09,09/06/1998,06/09/1998,"9th June, 1998","June 9th, 1998",1998/06/09,"June 9th, 1998",09-06-1998,09 Jun 1998
2022-01-14,14/01/2022,01/14/2022,"14th January, 2022","January 14th, 2022",2022/01/14,"January 14th, 2022",14-01-2022,14 Jan 2022
2042-11-06,06/11/2042,11/06/2042,"6th November, 2042","November 6th, 2042",2042/11/06,"November 6th, 2042",06-11-2042,06 Nov 2042
2083-04-13,13/04/2083,04/13/2083,"13th April, 2083","April 13th, 2083",2083/04/13,"April 13th, 2083",13-04-2083,13 Apr 2083
2097-11-05,05/11/2097,11/05/2097,"5th November, 2097","November 5th, 2097",2097/11/05,"November 5th, 2097",05-11-2097,05 Nov 2097
2007-09-30,30/09/2007,09/30/2007,"30th September, 2007","September 30th, 2007",2007/09/30,"September 30th, 2007",30-09-2007,30 Sep 2007
2044-08-23,23/08/2044,08/23/2044,"23rd August, 2044","August 23rd, 2044",2044/08/23,"August 23rd, 2044",23-08-2044,23 Aug 2044
1910-08-02,02/08/1910,08/02/1910,"2nd August, 1910","August 2nd, 1910",1910/08/02,"August 2nd, 1910",02-08-1910,02 Aug 1910
1948-04-26,26/04/1948,04/26/1948,"26th April, 1948","April 26th, 1948",1948/04/26,"April 26th, 1948",26-04-1948,26 Apr 1948
1975-05-27,27/05/1975,05/27/1975,"27th May, 1975","May 27th, 1975",1975/05/27,"May 27th, 1975",27-05-1975,27 May 1975
1936-08-18,18/08/1936,08/18/1936,"18th August, 1936","August 18th, 1936",1936/08/18,"August 18th, 1936",18-08-1936,18 Aug 1936
1959-01-21,21/01/1959,01/21/1959,"21st January, 1959","January 21st, 1959",1959/01/21,"January 21st, 1959",21-01-1959,21 Jan 1959
1927-01-21,21/01/1927,01/21/1927,"21st January, 1927","January 21st, 1927",1927/01/21,"January 21st, 1927",21-01-1927,21 Jan 1927
1971-01-10,10/01/1971,01/10/1971,"10th January, 1971","January 10th, 1971",1971/01/10,"January 10th, 1971",10-01-1971,10 Jan 1971
2072-06-04,04/06/2072,06/04/2072,"4th June, 2072","June 4th, 2072",2072/06/04,"June 4th, 2072",04-06-2072,04 Jun 2072
1949-05-24,24/05/1949,05/24/1949,"24th May, 1949","May 24th, 1949",1949/05/24,"May 24th, 1949",24-05-1949,24 May 1949
2041-06-04,04/06/2041,06/04/2041,"4th June, 2041","June 4th, 2041",2041/06/04,"June 4th, 2041",04-06-2041,04 Jun 2041
2073-10-28,28/10/2073,10/28/2073,"28th October, 2073","October 28th, 2073",2073/10/28,"October 28th, 2073",28-10-2073,28 Oct 2073
1966-01-20,20/01/1966,01/20/1966,"20th January, 1966","January 20th, 1966",1966/01/20,"January 20th, 1966",20-01-1966,20 Jan 1966
2050-03-05,05/03/2050,03/05/2050,"5th March, 2050","March 5th, 2050",2050/03/05,"March 5th, 2050",05-03-2050,05 Mar 2050
2087-07-25,25/07/2087,07/25/2087,"25th July, 2087","July 25th, 2087",2087/07/25,"July 25th, 2087",25-07-2087,25 Jul 2087
2084-06-30,30/06/2084,06/30/2084,"30th June, 2084","June 30th, 2084",2084/06/30,"June 30th, 2084",30-06-2084,30 Jun 2084
1930-01-26,26/01/1930,01/26/1930,"26th January, 1930","January 26th, 1930",1930/01/26,"January 26th, 1930",26-01-1930,26 Jan 1930
1998-04-24,24/04/1998,04/24/1998,"24th April, 1998","April 24th, 1998",1998/04/24,"April 24th, 1998",24-04-1998,24 Apr 1998
2009-03-02,02/03/2009,03/02/2009,"2nd March, 2009","March 2nd, 2009",2009/03/02,"March 2nd, 2009",02-03-2009,02 Mar 2009
2046-07-15,15/07/2046,07/15/2046,"15th July, 2046","July 15th, 2046",2046/07/15,"July 15th, 2046",15-07-2046,15 Jul 2046
2049-09-20,20/09/2049,09/20/2049,"20th September, 2049","September 20th, 2049",2049/09/20,"September 20th, 2049",20-09-2049,20 Sep 2049
2000-10-23,23/10/2000,10/23/2000,"23rd October, 2000","October 23rd, 2000",2000/10/23,"October 23rd, 2000",23-10-2000,23 Oct 2000
2015-09-24,24/09/2015,09/24/2015,"24th September, 2015","September 24th, 2015",2015/09/24,"September 24th, 2015",24-09-2015,24 Sep 2015
2089-07-20,20/07/2089,07/20/2089,"20th July, 2089","July 20th, 2089",2089/07/20,"July 20th, 2089",20-07-2089,20 Jul 2089
2020-03-23,23/03/2020,03/23/2020,"23rd March, 2020","March 23rd, 2020",2020/03/23,"March 23rd, 2020",23-03-2020,23 Mar 2020
2040-01-02,02/01/2040,01/02/2040,"2nd January, 2040","January 2nd, 2040",2040/01/02,"January 2nd, 2040",02-01-2040,02 Jan 2040
1992-08-13,13/08/1992,08/13/1992,"13th August, 1992","August 13th, 1992",1992/08/13,"August 13th, 1992",13-08-1992,13 Aug 1992
1978-02-08,08/02/1978,02/08/1978,"8th February, 1978","February 8th, 1978",1978/02/08,"February 8th, 1978",08-02-1978,08 Feb 1978
2084-02-21,21/02/2084,02/21/2084,"21st February, 2084","February 21st, 2084",2084/02/21,"February 21st, 2084",21-02-2084,21 Feb 2084
1985-10-22,22/10/1985,10/22/1985,"22nd October, 1985","October 22nd, 1985",1985/10/22,"October 22nd, 1985",22-10-1985,22 Oct 1985
1990-11-20,20/11/1990,11/20/1990,"20th November, 1990","November 20th, 1990",1990/11/20,"November 20th, 1990",20-11-1990,20 Nov 1990
2009-08-26,26/08/2009,08/26/2009,"26th August, 2009","August 26th, 2009",2009/08/26,"August 26th, 2009",26-08-2009,26 Aug 2009
2005-12-06,06/12/2005,12/06/2005,"6th December, 2005","December 6th, 2005",2005/12/06,"December 6th, 2005",06-12-2005,06 Dec 2005
1931-05-26,26/05/1931,05/26/1931,"26th May, 1931","May 26th, 1931",1931/05/26,"May 26th, 1931",26-05-1931,26 May 1931
1905-02-25,25/02/1905,02/25/1905,"25th February, 1905","February 25th, 1905",1905/02/25,"February 25th, 1905",25-02-1905,25 Feb 1905
2097-06-29,29/06/2097,06/29/2097,"29th June, 2097","June 29th, 2097",2097/06/29,"June 29th, 2097",29-06-2097,29 Jun 2097
1988-10-24,24/10/1988,10/24/1988,"24th October, 1988","October 24th, 1988",1988/10/24,"October 24th, 1988",24-10-1988,24 Oct 1988
2074-10-06,06/10/2074,10/06/2074,"6th October, 2074","October 6th, 2074",2074/10/06,"October 6th, 2074",06-10-2074,06 Oct 2074
2076-11-26,26/11/2076,11/26/2076,"26th November, 2076","November 26th, 2076",2076/11/26,"November 26th, 2076",26-11-2076,26 Nov 2076
2087-06-03,03/06/2087,06/03/2087,"3rd June, 2087","June 3rd, 2087",2087/06/03,"June 3rd, 2087",03-06-2087,03 Jun 2087
1935-01-11,11/01/1935,01/11/1935,"11th January, 1935","January 11th, 1935",1935/01/11,"January 11th, 1935",11-01-1935,11 Jan 1935
1913-12-19,19/12/1913,12/19/1913,"19th December, 1913","December 19th, 1913",1913/12/19,"December 19th, 1913",19-12-1913,19 Dec 1913
2099-01-31,31/01/2099,01/31/2099,"31st January, 2099","January 31st, 2099",2099/01/31,"January 31st, 2099",31-01-2099,31 Jan 2099
2038-11-12,12/11/2038,11/12/2038,"12th November, 2038","November 12th, 2038",2038/11/12,"November 12th, 2038",12-11-2038,12 Nov 2038
1950-04-30,30/04/1950,04/30/1950,"30th April, 1950","April 30th, 1950",1950/04/30,"April 30th, 1950",30-04-1950,30 Apr 1950
1922-06-21,21/06/1922,06/21/1922,"21st June, 1922","June 21st, 1922",1922/06/21,"June 21st, 1922",21-06-1922,21 Jun 1922
1907-05-02,02/05/1907,05/02/1907,"2nd May, 1907","May 2nd, 1907",1907/05/02,"May 2nd, 1907",02-05-1907,02 May 1907
1981-09-14,14/09/1981,09/14/1981,"14th September, 1981","September 14th, 1981",1981/09/14,"September 14th, 1981",14-09-1981,14 Sep 1981
1903-06-10,10/06/1903,06/10/1903,"10th June, 1903","June 10th, 1903",1903/06/10,"June 10th, 1903",10-06-1903,10 Jun 1903
2092-02-20,20/02/2092,02/20/2092,"20th February, 2092","February 20th, 2092",2092/02/20,"February 20th, 2092",20-02-2092,20 Feb 2092
1954-10-13,13/10/1954,10/13/1954,"13th October, 1954","October 13th, 1954",1954/10/13,"October 13th, 1954",13-10-1954,13 Oct 1954
1988-03-12,12/03/1988,03/12/1988,"12th March, 1988","March 12th, 1988",1988/03/12,"March 12th, 1988",12-03-1988,12 Mar 1988
2076-09-26,26/09/2076,09/26/2076,"26th September, 2076","September 26th, 2076",2076/09/26,"September 26th, 2076",26-09-2076,26 Sep 2076
1910-07-31,31/07/1910,07/31/1910,"31st July, 1910","July 31st, 1910",1910/07/31,"July 31st, 1910",31-07-1910,31 Jul 1910
2007-03-08,08/03/2007,03/08/2007,"8th March, 2007","March 8th, 2007",2007/03/08,"March 8th, 2007",08-03-2007,08 Mar 2007
2028-03-27,27/03/2028,03/27/2028,"27th March, 2028","March 27th, 2028",2028/03/27,"March 27th, 2028",27-03-2028,27 Mar 2028
2030-01-18,18/01/2030,01/18/2030,"18th January, 2030","January 18th, 2030",2030/01/18,"January 18th, 2030",18-01-2030,18 Jan 2030
1960-11-13,13/11/1960,11/13/1960,"13th November, 1960","November 13th, 1960",1960/11/13,"November 13th, 1960",13-11-1960,13 Nov 1960
2030-03-24,24/03/2030,03/24/2030,"24th March, 2030","March 24th, 2030",2030/03/24,"March 24th, 2030",24-03-2030,24 Mar 2030
1904-03-08,08/03/1904,03/08/1904,"8th March, 1904","March 8th, 1904",1904/03/08,"March 8th, 1904",08-03-1904,08 Mar 1904
2016-12-24,24/12/2016,12/24/2016,"24th December, 2016","December 24th, 2016",2016/12/24,"December 24th, 2016",24-12-2016,24 Dec 2016
2072-06-29,29/06/2072,06/29/2072,"29th June, 2072","June 29th, 2072",2072/06/29,"June 29th, 2072",29-06-2072,29 Jun 2072
2077-02-08,08/02/2077,02/08/2077,"8th February, 2077","February 8th, 2077",2077/02/08,"February 8th, 2077",08-02-2077,08 Feb 2077
1904-05-05,05/05/1904,05/05/1904,"5th May, 1904","May 5th, 1904",1904/05/05,"May 5th, 1904",05-05-1904,05 May 1904
2055-06-19,19/06/2055,06/19/2055,"19th June, 2055","June 19th, 2055",2055/06/19,"June 19th, 2055",19-06-2055,19 Jun 2055
2073-03-08,08/03/2073,03/08/2073,"8th March, 2073","March 8th, 2073",2073/03/08,"March 8th, 2073",08-03-2073,08 Mar 2073
2090-06-01,01/06/2090,06/01/2090,"1st June, 2090","June 1st, 2090",2090/06/01,"June 1st, 2090",01-06-2090,01 Jun 2090
2005-12-16,16/12/2005,12/16/2005,"16th December, 2005","December 16th, 2005",2005/12/16,"December 16th, 2005",16-12-2005,16 Dec 2005
2095-10-30,30/10/2095,10/30/2095,"30th October, 2095","October 30th, 2095",2095/10/30,"October 30th, 2095",30-10-2095,30 Oct 2095
1969-09-27,27/09/1969,09/27/1969,"27th September, 1969","September 27th, 1969",1969/09/27,"September 27th, 1969",27-09-1969,27 Sep 1969
1995-12-21,21/12/1995,12/21/1995,"21st December, 1995","December 21st, 1995",1995/12/21,"December 21st, 1995",21-12-1995,21 Dec 1995
1923-02-27,27/02/1923,02/27/1923,"27th February, 1923","February 27th, 1923",1923/02/27,"February 27th, 1923",27-02-1923,27 Feb 1923
2035-10-26,26/10/2035,10/26/2035,"26th October, 2035","October 26th, 2035",2035/10/26,"October 26th, 2035",26-10-2035,26 Oct 2035
1944-03-20,20/03/1944,03/20/1944,"20th March, 1944","March 20th, 1944",1944/03/20,"March 20th, 1944",20-03-1944,20 Mar 1944
1959-10-20,20/10/1959,10/20/1959,"20th October, 1959","October 20th, 1959",1959/10/20,"October 20th, 1959",20-10-1959,20 Oct 1959
2097-02-02,02/02/2097,02/02/2097,"2nd February, 2097","February 2nd, 2097",2097/02/02,"February 2nd, 2097",02-02-2097,02 Feb 2097
2012-06-06,06/06/2012,06/06/2012,"6th June, 2012","June 6th, 2012",2012/06/06,"June 6th, 2012",06-06-2012,06 Jun 2012
1988-01-21,21/01/1988,01/21/1988,"21st January, 1988","January 21st, 1988",1988/01/21,"January 21st, 1988",21-01-1988,21 Jan 1988
2049-03-23,23/03/2049,03/23/2049,"23rd March, 2049","March 23rd, 2049",2049/03/23,"March 23rd, 2049",23-03-2049,23 Mar 2049
2053-06-05,05/06/2053,06/05/2053,"5th June, 2053","June 5th, 2053",2053/06/05,"June 5th, 2053",05-06-2053,05 Jun 2053
2037-01-11,11/01/2037,01/11/2037,"11th January, 2037","January 11th, 2037",2037/01/11,"January 11th, 2037",11-01-2037,11 Jan 2037
2043-11-13,13/11/2043,11/13/2043,"13th November, 2043","November 13th, 2043",2043/11/13,"November 13th, 2043",13-11-2043,13 Nov 2043
2096-11-27,27/11/2096,11/27/2096,"27th November, 2096","November 27th, 2096",2096/11/27,"November 27th, 2096",27-11-2096,27 Nov 2096
1972-03-15,15/03/1972,03/15/1972,"15th March, 1972","March 15th, 1972",1972/03/15,"March 15th, 1972",15-03-1972,15 Mar 1972
1960-05-15,15/05/1960,05/15/1960,"15th May, 1960","May 15th, 1960",1960/05/15,"May 15th, 1960",15-05-1960,15 May 1960
2055-10-06,06/10/2055,10/06/2055,"6th October, 2055","October 6th, 2055",2055/10/06,"October 6th, 2055",06-10-2055,06 Oct 2055
2013-09-17,17/09/2013,09/17/2013,"17th September, 2013","September 17th, 2013",2013/09/17,"September 17th, 2013",17-09-2013,17 Sep 2013
2062-12-26,26/12/2062,12/26/2062,"26th December, 2062","December 26th, 2062",2062/12/26,"December 26th, 2062",26-12-2062,26 Dec 2062
2068-05-07,07/05/2068,05/07/2068,"7th May, 2068","May 7th, 2068",2068/05/07,"May 7th, 2068",07-05-2068,07 May 2068
2092-12-23,23/12/2092,12/23/2092,"23rd December, 2092","December 23rd, 2092",2092/12/23,"December 23rd, 2092",23-12-2092,23 Dec 2092
1996-01-04,04/01/1996,01/04/1996,"4th January, 1996","January 4th, 1996",1996/01/04,"January 4th, 1996",04-01-1996,04 Jan 1996
2037-05-03,03/05/2037,05/03/2037,"3rd May, 2037","May 3rd, 2037",2037/05/03,"May 3rd, 2037",03-05-2037,03 May 2037
2016-09-13,13/09/2016,09/13/2016,"13th September, 2016","September 13th, 2016",2016/09/13,"September 13th, 2016",13-09-2016,13 Sep 2016
2044-01-05,05/01/2044,01/05/2044,"5th January, 2044","January 5th, 2044",2044/01/05,"January 5th, 2044",05-01-2044,05 Jan 2044
1907-10-13,13/10/1907,10/13/1907,"13th October, 1907","October 13th, 1907",1907/10/13,"October 13th, 1907",13-10-1907,13 Oct 1907
1914-05-04,04/05/1914,05/04/1914,"4th May, 1914","May 4th, 1914",1914/05/04,"May 4th, 1914",04-05-1914,04 May 1914
2070-10-16,16/10/2070,10/16/2070,"16th October, 2070","October 16th, 2070",2070/10/16,"October 16th, 2070",16-10-2070,16 Oct 2070
1959-10-29,29/10/1959,10/29/1959,"29th October, 1959","October 29th, 1959",1959/10/29,"October 29th, 1959",29-10-1959,29 Oct 1959
1950-03-02,02/03/1950,03/02/1950,"2nd March, 1950","March 2nd, 1950",1950/03/02,"March 2nd, 1950",02-03-1950,02 Mar 1950
1976-02-16,16/02/1976,02/16/1976,"16th February, 1976","February 16th, 1976",1976/02/16,"February 16th, 1976",16-02-1976,16 Feb 1976
2058-06-17,17/06/2058,06/17/2058,"17th June, 2058","June 17th, 2058",2058/06/17,"June 17th, 2058",17-06-2058,17 Jun 2058
2004-11-14,14/11/2004,11/14/2004,"14th November, 2004","November 14th, 2004",2004/11/14,"November 14th, 2004",14-11-2004,14 Nov 2004
2025-11-15,15/11/2025,11/15/2025,"15th November, 2025","November 15th, 2025",2025/11/15,"November 15th, 2025",15-11-2025,15 Nov 2025
2017-10-28,28/10/2017,10/28/2017,"28th October, 2017","October 28th, 2017",2017/10/28,"October 28th, 2017",28-10-2017,28 Oct 2017
1910-11-26,26/11/1910,11/26/1910,"26th November, 1910","November 26th, 1910",1910/11/26,"November 26th, 1910",26-11-1910,26 Nov 1910
2050-03-13,13/03/2050,03/13/2050,"13th March, 2050","March 13th, 2050",2050/03/13,"March 13th, 2050",13-03-2050,13 Mar 2050
2091-03-31,31/03/2091,03/31/2091,"31st March, 2091","March 31st, 2091",2091/03/31,"March 31st, 2091",31-03-2091,31 Mar 2091
1931-07-18,18/07/1931,07/18/1931,"18th July, 1931","July 18th, 1931",1931/07/18,"July 18th, 1931",18-07-1931,18 Jul 1931
2073-10-15,15/10/2073,10/15/2073,"15th October, 2073","October 15th, 2073",2073/10/15,"October 15th, 2073",15-10-2073,15 Oct 2073
2079-02-07,07/02/2079,02/07/2079,"7th February, 2079","February 7th, 2079",2079/02/07,"February 7th, 2079",07-02-2079,07 Feb 2079
2044-04-29,29/04/2044,04/29/2044,"29th April, 2044","April 29th, 2044",2044/04/29,"April 29th, 2044",29-04-2044,29 Apr 2044
2059-09-10,10/09/2059,09/10/2059,"10th September, 2059","September 10th, 2059",2059/09/10,"September 10th, 2059",10-09-2059,10 Sep 2059
