year,month,date,string
1965,June,8,"['06/08/1965', '8th June, 1965', '08/06/1965', 'June 8th, 1965']"
2023,August,19,"['2023/08/19', '19/08/2023', '19th August, 2023', 'August 19th, 2023', '19-08-2023', '08/19/2023', '2023-08-19', '19 Aug 2023']"
1922,December,26,"['December 26th, 1922', '12/26/1922']"
1993,January,8,"['08/01/1993', '1993/01/08', '08 Jan 1993', 'January 8th, 1993', '08-01-1993', '01/08/1993', '8th January, 1993', '1993-01-08']"
1977,August,8,"['8th August, 1977', '1977/08/08', 'August 8th, 1977', '08-08-1977', '08/08/1977', '08 Aug 1977', '1977-08-08']"
2039,January,13,"['2039/01/13', '13-01-2039', 'January 13th, 2039', '01/13/2039', '13 Jan 2039', '13/01/2039', '2039-01-13']"
1918,May,3,"['1918/05/03', '03/05/1918']"
2044,June,7,['07 Jun 2044']
1974,June,23,"['23-06-1974', 'June 23rd, 1974', '23/06/1974', '1974/06/23', '23rd June, 1974']"
2045,February,21,"['2045/02/21', '21st February, 2045', '21/02/2045', '21 Feb 2045', '2045-02-21', '21-02-2045', '02/21/2045']"
2018,April,6,"['April 6th, 2018', '2018-04-06', '06 Apr 2018']"
2076,January,29,"['2076-01-29', '29th January, 2076', '2076/01/29']"
2019,September,23,"['23rd September, 2019', '2019-09-23', '2019/09/23', '09/23/2019', 'September 23rd, 2019', '23/09/2019']"
2055,December,18,"['December 18th, 2055', '18th December, 2055', '18/12/2055', '18 Dec 2055', '2055/12/18', '2055-12-18', '18-12-2055', '12/18/2055']"
2045,January,7,"['2045-01-07', 'January 7th, 2045', '7th January, 2045']"
2060,September,23,"['23-09-2060', '23 Sep 2060', '2060/09/23', '23rd September, 2060', '09/23/2060', '2060-09-23', '23/09/2060', 'September 23rd, 2060']"
2022,January,30,"['January 30th, 2022', '01/30/2022', '30th January, 2022', '30/01/2022', '30 Jan 2022', '2022/01/30', '30-01-2022']"
2024,October,31,"['31 Oct 2024', '31/10/2024', '31st October, 2024', '10/31/2024', '2024-10-31', 'October 31st, 2024']"
2021,September,13,"['09/13/2021', '13th September, 2021', '13-09-2021', 'September 13th, 2021', '13 Sep 2021', '2021/09/13', '13/09/2021']"
1931,January,4,"['04-01-1931', '1931-01-04', '1931/01/04']"
1961,April,12,"['12/04/1961', 'April 12th, 1961']"
2099,April,23,['2099/04/23']
1981,January,20,"['1981-01-20', '20 Jan 1981', '20/01/1981', '1981/01/20', '01/20/1981']"
1914,January,27,"['27-01-1914', '27 Jan 1914', '01/27/1914', '27th January, 1914', '1914/01/27', '27/01/1914']"
2071,March,29,"['2071/03/29', '29th March, 2071', '29/03/2071', 'March 29th, 2071', '29 Mar 2071']"
1990,June,22,"['1990/06/22', '06/22/1990', '22/06/1990', '1990-06-22', 'June 22nd, 1990', '22nd June, 1990', '22 Jun 1990', '22-06-1990']"
1914,May,29,"['29-05-1914', '1914/05/29', '05/29/1914', 'May 29th, 1914', '29/05/1914', '29th May, 1914']"
1937,January,22,"['1937-01-22', '22/01/1937', 'January 22nd, 1937', '01/22/1937', '22-01-1937', '1937/01/22', '22nd January, 1937']"
1925,July,2,"['02/07/1925', '1925/07/02']"
1986,March,22,"['03/22/1986', '1986-03-22', '22nd March, 1986', '1986/03/22', '22/03/1986', '22 Mar 1986', '22-03-1986']"
2068,November,19,"['2068-11-19', '19/11/2068', 'November 19th, 2068', '19th November, 2068']"
1916,April,26,"['26th April, 1916', '26/04/1916', '26-04-1916', '04/26/1916']"
2082,January,6,"['6th January, 2082', '2082/01/06', 'January 6th, 2082']"
2056,June,1,"['2056-06-01', '06/01/2056', 'June 1st, 2056', '1st June, 2056', '01 Jun 2056']"
2046,September,9,"['2046-09-09', '09/09/2046', '2046/09/09', '9th September, 2046', '09/09/2046']"
1984,January,26,"['1984/01/26', '26 Jan 1984']"
2054,August,7,['07 Aug 2054']
1910,March,31,"['03/31/1910', '1910/03/31', '31/03/1910']"
1954,September,14,"['September 14th, 1954', '14/09/1954', '1954-09-14', '14th September, 1954', '14-09-1954']"
2012,February,25,"['February 25th, 2012']"
2050,March,6,"['6th March, 2050', '06 Mar 2050', '2050-03-06', '03/06/2050', '06/03/2050']"
2005,July,4,"['04 Jul 2005', '2005/07/04', '2005-07-04']"
1917,December,12,"['12 Dec 1917', '1917/12/12', '12th December, 1917', '12/12/1917']"
1997,October,30,"['October 30th, 1997', '30/10/1997', '30-10-1997', '10/30/1997', '30th October, 1997', '1997/10/30', '1997-10-30']"
2090,April,29,"['2090-04-29', '29/04/2090', '2090/04/29', '04/29/2090']"
1902,December,24,"['1902-12-24', '24 Dec 1902', '24-12-1902', '24th December, 1902', '24/12/1902']"
1985,March,14,"['14th March, 1985', '1985/03/14', '1985-03-14', '14 Mar 1985', '03/14/1985', 'March 14th, 1985']"
2084,December,27,"['December 27th, 2084', '27 Dec 2084', '27th December, 2084']"
2003,October,9,"['2003/10/09', '9th October, 2003', '09/10/2003', '09 Oct 2003', '2003-10-09', '10/09/2003']"
2052,September,24,"['24/09/2052', '09/24/2052', '24-09-2052']"
1966,February,7,"['1966-02-07', '1966/02/07', '07 Feb 1966', 'February 7th, 1966', '7th February, 1966', '07-02-1966', '02/07/1966', '07/02/1966']"
2059,October,17,"['17 Oct 2059', '2059/10/17', '2059-10-17', '17/10/2059', '10/17/2059', 'October 17th, 2059', '17-10-2059', '17th October, 2059']"
2074,June,29,"['06/29/2074', '29 Jun 2074', '29-06-2074', '29th June, 2074']"
1968,August,13,"['13th August, 1968']"
1965,June,26,"['26-06-1965', '26/06/1965', '26 Jun 1965', '06/26/1965', 'June 26th, 1965', '1965/06/26']"
2059,October,28,"['2059-10-28', '28/10/2059']"
1956,March,5,"['05 Mar 1956', 'March 5th, 1956', '5th March, 1956', '1956/03/05']"
1956,July,10,"['10 Jul 1956', '07/10/1956']"
2041,May,2,"['2041-05-02', 'May 2nd, 2041', '02 May 2041', '2041/05/02', '02-05-2041']"
2040,May,25,"['25-05-2040', '2040/05/25', '25 May 2040', 'May 25th, 2040', '25th May, 2040', '2040-05-25']"
1942,January,22,"['01/22/1942', '22 Jan 1942', '22/01/1942', '1942-01-22', 'January 22nd, 1942', '22-01-1942', '22nd January, 1942', '1942/01/22']"
2011,February,4,"['04-02-2011', '02/04/2011', 'February 4th, 2011', '2011/02/04', '2011-02-04', '4th February, 2011', '04 Feb 2011']"
1918,April,26,['1918-04-26']
2064,July,1,"['07/01/2064', '1st July, 2064', '01/07/2064', '01-07-2064', '2064-07-01', '01 Jul 2064']"
1963,July,20,"['20/07/1963', '1963/07/20', '07/20/1963', '20 Jul 1963', '1963-07-20', '20th July, 1963']"
2014,September,30,"['30/09/2014', 'September 30th, 2014', '30-09-2014', '30 Sep 2014', '30th September, 2014']"
1915,September,16,"['1915-09-16', '16th September, 1915']"
1927,January,20,"['January 20th, 1927', '20/01/1927', '20 Jan 1927', '20-01-1927', '01/20/1927']"
1940,June,13,['13-06-1940']
2031,July,12,"['2031/07/12', '12 Jul 2031', '12th July, 2031', '2031-07-12', '12/07/2031', '07/12/2031', 'July 12th, 2031', '12-07-2031']"
2012,October,1,"['2012/10/01', '2012-10-01', '01-10-2012', '1st October, 2012', '10/01/2012']"
2056,December,27,['27 Dec 2056']
2011,March,9,"['03/09/2011', '09 Mar 2011', '09/03/2011', '2011/03/09', '09-03-2011', '9th March, 2011']"
2038,February,14,"['February 14th, 2038', '14 Feb 2038', '2038-02-14', '14/02/2038', '02/14/2038', '14th February, 2038']"
1948,February,3,['1948/02/03']
1918,December,21,"['21 Dec 1918', '21/12/1918', '21st December, 1918']"
2059,July,3,"['July 3rd, 2059']"
2092,December,19,"['12/19/2092', '19-12-2092', '19 Dec 2092', '19th December, 2092', '2092/12/19', '19/12/2092']"
2016,April,25,"['25/04/2016', 'April 25th, 2016', '2016/04/25', '04/25/2016']"
2060,July,25,"['2060-07-25', '25/07/2060', '07/25/2060', '25-07-2060', '25 Jul 2060', 'July 25th, 2060']"
1926,March,31,"['1926-03-31', '31 Mar 1926', '03/31/1926', 'March 31st, 1926', '31-03-1926', '31st March, 1926']"
1966,September,10,"['September 10th, 1966', '10/09/1966', '09/10/1966', '1966-09-10', '10th September, 1966']"
1962,June,12,"['12th June, 1962', 'June 12th, 1962']"
2021,February,9,"['09 Feb 2021', '9th February, 2021', '2021-02-09', 'February 9th, 2021', '2021/02/09', '02/09/2021']"
1966,March,24,"['24/03/1966', 'March 24th, 1966', '24-03-1966', '24th March, 1966', '1966/03/24', '1966-03-24', '24 Mar 1966']"
2044,February,23,"['February 23rd, 2044', '23/02/2044', '02/23/2044']"
2048,August,13,"['13 Aug 2048', '08/13/2048', '2048-08-13', '13th August, 2048', '2048/08/13', '13-08-2048', 'August 13th, 2048']"
2010,February,23,"['23/02/2010', 'February 23rd, 2010', '02/23/2010', '2010/02/23', '2010-02-23', '23 Feb 2010']"
1941,December,2,"['2nd December, 1941', '02-12-1941']"
2075,December,28,"['28/12/2075', '28 Dec 2075']"
2049,August,10,"['10 Aug 2049', '10-08-2049', 'August 10th, 2049']"
2052,August,24,"['24/08/2052', '2052/08/24', '24th August, 2052', '2052-08-24', '08/24/2052', '24 Aug 2052', '24-08-2052', 'August 24th, 2052']"
2096,February,29,"['29 Feb 2096', '29th February, 2096', '02/29/2096']"
1992,March,21,"['1992-03-21', '21 Mar 1992', '1992/03/21', '21/03/1992', 'March 21st, 1992', '21-03-1992']"
1949,November,12,"['1949/11/12', '12th November, 1949', '12-11-1949']"
1983,November,2,"['11/02/1983', '2nd November, 1983', '1983-11-02', '1983/11/02', 'November 2nd, 1983', '02/11/1983', '02-11-1983', '02 Nov 1983']"
1937,November,11,"['11 Nov 1937', '1937/11/11', '11th November, 1937', '11/11/1937', '11/11/1937', '11-11-1937', 'November 11th, 1937', '1937-11-11']"
1979,June,19,"['19-06-1979', '1979-06-19', 'June 19th, 1979', '06/19/1979', '19/06/1979', '19th June, 1979', '19 Jun 1979']"
1946,December,29,"['29/12/1946', '29-12-1946', '12/29/1946', '1946-12-29', 'December 29th, 1946']"
1981,September,28,"['28/09/1981', '1981/09/28', '28th September, 1981', '09/28/1981', '28-09-1981', 'September 28th, 1981']"
1990,February,21,"['21 Feb 1990', '02/21/1990', '21-02-1990', '21/02/1990']"
1987,January,30,"['1987/01/30', 'January 30th, 1987', '30/01/1987', '1987-01-30', '30-01-1987', '30 Jan 1987']"
2064,January,11,"['11th January, 2064', '2064-01-11', 'January 11th, 2064']"
2001,July,8,"['July 8th, 2001', '2001/07/08', '8th July, 2001', '07/08/2001', '08-07-2001', '08/07/2001']"
1947,June,1,"['1947-06-01', '01 Jun 1947', '06/01/1947', '01-06-1947']"
2067,October,17,"['17th October, 2067', '2067/10/17']"
1968,March,17,"['17-03-1968', '17 Mar 1968']"
1970,October,5,"['1970-10-05', '1970/10/05', 'October 5th, 1970']"
2000,June,5,"['2000/06/05', '5th June, 2000', '2000-06-05']"
1927,October,31,"['October 31st, 1927', '31 Oct 1927', '31-10-1927', '1927/10/31', '31/10/1927']"
2093,February,15,"['2093-02-15', '15/02/2093', 'February 15th, 2093', '02/15/2093', '15-02-2093', '2093/02/15']"
1939,December,24,"['24/12/1939', 'December 24th, 1939', '1939-12-24', '24 Dec 1939']"
2047,August,21,"['08/21/2047', '2047/08/21', '21/08/2047', '21st August, 2047', 'August 21st, 2047', '21-08-2047', '21 Aug 2047']"
1981,March,10,"['10 Mar 1981', '1981/03/10', '1981-03-10', '10th March, 1981']"
2051,May,7,"['07/05/2051', '2051-05-07', '2051/05/07', '07-05-2051', '7th May, 2051', 'May 7th, 2051', '07 May 2051']"
2017,November,12,"['11/12/2017', '2017/11/12', '12/11/2017', '12-11-2017', 'November 12th, 2017']"
1998,September,16,"['September 16th, 1998', '1998/09/16', '16/09/1998']"
1984,November,8,"['1984-11-08', '8th November, 1984']"
2099,January,28,"['2099-01-28', 'January 28th, 2099', '01/28/2099', '28 Jan 2099']"
1941,November,7,"['7th November, 1941', '07-11-1941', 'November 7th, 1941', '11/07/1941', '1941-11-07']"
1968,May,11,"['11 May 1968', 'May 11th, 1968', '1968-05-11', '11-05-1968']"
1926,August,13,"['1926/08/13', '08/13/1926', '13-08-1926']"
2074,September,28,"['28-09-2074', 'September 28th, 2074', '28th September, 2074', '2074-09-28', '09/28/2074']"
1991,February,14,"['14 Feb 1991', '1991-02-14', '14-02-1991', 'February 14th, 1991', '02/14/1991']"
2073,December,17,['17-12-2073']
1994,December,20,"['December 20th, 1994', '20 Dec 1994']"
2090,June,5,"['06/05/2090', '2090-06-05', '05 Jun 2090', '5th June, 2090', '05/06/2090', '05-06-2090', '2090/06/05']"
1940,May,15,"['15/05/1940', 'May 15th, 1940', '1940-05-15', '15th May, 1940']"
2076,November,15,"['15-11-2076', '15th November, 2076', '2076/11/15', '11/15/2076']"
2086,July,13,"['07/13/2086', '2086/07/13', '13 Jul 2086', '13th July, 2086', '13-07-2086', '13/07/2086', '2086-07-13', 'July 13th, 2086']"
1920,February,15,"['February 15th, 1920', '15th February, 1920', '1920/02/15', '15/02/1920']"
2007,March,13,"['2007/03/13', '13-03-2007', '13 Mar 2007', 'March 13th, 2007']"
1944,July,7,"['1944-07-07', '07/07/1944', '07-07-1944', '07/07/1944', '7th July, 1944']"
1986,December,19,"['12/19/1986', '19 Dec 1986', '19-12-1986', 'December 19th, 1986', '1986/12/19', '1986-12-19']"
1925,July,20,"['20/07/1925', 'July 20th, 1925', '20 Jul 1925', '20-07-1925', '1925/07/20']"
2024,January,2,"['January 2nd, 2024', '02 Jan 2024', '2nd January, 2024', '02-01-2024']"
1918,August,17,"['1918-08-17', '17th August, 1918', '1918/08/17', '08/17/1918', 'August 17th, 1918', '17/08/1918', '17 Aug 1918']"
2017,July,8,"['8th July, 2017', '08 Jul 2017', '07/08/2017', '2017-07-08', '08/07/2017']"
2071,March,20,"['20th March, 2071', '2071/03/20', '20 Mar 2071', '2071-03-20', '20/03/2071', '20-03-2071', '03/20/2071']"
1968,April,12,"['April 12th, 1968', '1968/04/12', '12th April, 1968', '12-04-1968', '12/04/1968', '12 Apr 1968']"
2066,October,25,"['October 25th, 2066', '25/10/2066', '25 Oct 2066', '25th October, 2066', '2066/10/25', '25-10-2066']"
2021,July,23,"['23-07-2021', '23 Jul 2021', '07/23/2021', 'July 23rd, 2021', '2021/07/23']"
1918,April,28,['1918-04-28']
2053,December,26,"['December 26th, 2053', '2053-12-26', '26th December, 2053', '26-12-2053', '12/26/2053', '26 Dec 2053', '2053/12/26']"
2072,November,24,"['2072/11/24', '24-11-2072', '2072-11-24', '24th November, 2072', '11/24/2072', '24 Nov 2072', '24/11/2072', 'November 24th, 2072']"
2086,June,28,['28-06-2086']
1981,November,6,"['06-11-1981', '6th November, 1981', '06/11/1981', '1981/11/06', '11/06/1981', '1981-11-06']"
2008,August,17,"['17 Aug 2008', 'August 17th, 2008', '2008-08-17']"
1900,May,22,"['05/22/1900', '22-05-1900', '22 May 1900', '1900-05-22', 'May 22nd, 1900', '22nd May, 1900']"
2007,December,10,"['2007-12-10', '10th December, 2007', '10/12/2007', '10 Dec 2007', '2007/12/10', '12/10/2007', 'December 10th, 2007', '10-12-2007']"
2091,February,19,"['2091-02-19', '19/02/2091', '19-02-2091', '2091/02/19', '19 Feb 2091']"
1940,January,15,"['1940-01-15', '01/15/1940', '15 Jan 1940', '15-01-1940', 'January 15th, 1940', '15/01/1940']"
1915,May,21,"['May 21st, 1915', '21/05/1915']"
1976,May,24,"['1976-05-24', '24 May 1976', '24/05/1976', '24-05-1976', '05/24/1976', '1976/05/24', 'May 24th, 1976']"
2081,August,16,"['16/08/2081', '2081/08/16', 'August 16th, 2081', '08/16/2081', '16 Aug 2081', '2081-08-16', '16-08-2081', '16th August, 2081']"
2018,May,7,"['07 May 2018', '2018/05/07', '05/07/2018', '07/05/2018', 'May 7th, 2018', '7th May, 2018', '07-05-2018', '2018-05-07']"
2070,October,10,"['2070/10/10', '10 Oct 2070', '10-10-2070', '10/10/2070', 'October 10th, 2070', '10th October, 2070', '10/10/2070']"
2001,January,6,"['6th January, 2001', '2001-01-06', '06-01-2001', '06 Jan 2001', '06/01/2001', '2001/01/06', '01/06/2001']"
2033,June,28,['28/06/2033']
1960,February,29,"['29-02-1960', 'February 29th, 1960', '02/29/1960', '29/02/1960', '29 Feb 1960', '1960-02-29', '29th February, 1960']"
1997,July,25,"['07/25/1997', '25-07-1997', '25 Jul 1997', '25/07/1997', '1997-07-25', '1997/07/25', 'July 25th, 1997', '25th July, 1997']"
1902,December,22,"['12/22/1902', 'December 22nd, 1902']"
2073,June,14,"['June 14th, 2073', '14th June, 2073']"
2025,October,2,"['October 2nd, 2025', '02-10-2025', '10/02/2025', '02 Oct 2025']"
1907,March,8,"['08-03-1907', '08/03/1907', '8th March, 1907', '1907/03/08', '1907-03-08', 'March 8th, 1907', '08 Mar 1907', '03/08/1907']"
1979,July,13,"['13th July, 1979', '13 Jul 1979', '13/07/1979', '07/13/1979', '13-07-1979', '1979/07/13', '1979-07-13', 'July 13th, 1979']"
1949,November,4,"['04/11/1949', '11/04/1949', 'November 4th, 1949']"
2088,April,29,"['29-04-2088', '29th April, 2088', '29/04/2088']"
2052,June,26,['2052-06-26']
1994,June,30,"['1994-06-30', '30-06-1994', '30th June, 1994', 'June 30th, 1994']"
2043,December,28,"['28th December, 2043', '28 Dec 2043', '28-12-2043', '12/28/2043', '28/12/2043']"
2049,September,16,"['2049-09-16', '09/16/2049', '16-09-2049']"
1901,September,14,"['14 Sep 1901', '09/14/1901', 'September 14th, 1901']"
1969,December,29,"['1969/12/29', '29/12/1969', '29th December, 1969', 'December 29th, 1969', '29 Dec 1969', '12/29/1969']"
2064,March,12,"['12th March, 2064', '2064-03-12']"
2028,July,15,"['15 Jul 2028', '15/07/2028']"
1980,October,26,"['1980/10/26', '26/10/1980', '26th October, 1980', '10/26/1980', 'October 26th, 1980', '1980-10-26']"
2001,September,1,['09/01/2001']
1939,March,25,"['1939-03-25', '1939/03/25', '25th March, 1939', '03/25/1939', '25-03-1939', 'March 25th, 1939', '25/03/1939', '25 Mar 1939']"
1917,March,9,['1917/03/09']
1974,December,18,"['18 Dec 1974', '18/12/1974', '18-12-1974', '1974/12/18', '12/18/1974', '1974-12-18']"
2083,April,17,"['17/04/2083', '17-04-2083', '2083-04-17', '17th April, 2083', '2083/04/17', 'April 17th, 2083', '17 Apr 2083']"
2043,February,28,"['2043/02/28', '2043-02-28', 'February 28th, 2043', '28th February, 2043', '28 Feb 2043', '28/02/2043']"
2060,February,13,"['13-02-2060', '02/13/2060', '13 Feb 2060', 'February 13th, 2060', '2060/02/13', '2060-02-13']"
2085,March,22,"['2085/03/22', '2085-03-22', '03/22/2085', 'March 22nd, 2085', '22nd March, 2085']"
1982,February,11,"['11 Feb 1982', '11th February, 1982', '02/11/1982']"
2027,September,9,"['09-09-2027', 'September 9th, 2027']"
2054,August,20,"['20-08-2054', '2054/08/20', 'August 20th, 2054', '20 Aug 2054', '20/08/2054', '20th August, 2054', '08/20/2054']"
2085,October,5,"['10/05/2085', '2085-10-05', '05-10-2085', '05 Oct 2085']"
1952,August,28,"['28/08/1952', '08/28/1952', 'August 28th, 1952']"
1940,February,28,"['28/02/1940', '1940-02-28', 'February 28th, 1940', '28 Feb 1940']"
2039,August,30,"['2039-08-30', 'August 30th, 2039', '30/08/2039', '08/30/2039', '30th August, 2039']"
2026,November,18,"['2026-11-18', '18-11-2026', '2026/11/18', '18/11/2026', '11/18/2026']"
1972,September,27,"['September 27th, 1972', '27/09/1972', '27th September, 1972', '27 Sep 1972', '1972-09-27', '09/27/1972', '1972/09/27']"
2037,May,30,"['2037-05-30', '05/30/2037', '30-05-2037', '2037/05/30', '30 May 2037', '30/05/2037', 'May 30th, 2037']"
2011,January,13,"['January 13th, 2011', '13-01-2011', '13/01/2011', '2011-01-13', '13 Jan 2011', '01/13/2011']"
2066,August,26,"['08/26/2066', '26 Aug 2066', '2066-08-26']"
1923,July,21,"['21/07/1923', '1923/07/21', '21-07-1923', '21st July, 1923', '07/21/1923', '21 Jul 1923']"
2072,January,16,"['2072-01-16', '2072/01/16', '16-01-2072', 'January 16th, 2072', '16 Jan 2072']"
1934,June,7,"['1934/06/07', '07/06/1934', 'June 7th, 1934', '7th June, 1934']"
1909,June,4,"['04/06/1909', '06/04/1909', '4th June, 1909', '04 Jun 1909', '1909/06/04', '1909-06-04']"
1997,May,29,"['29 May 1997', '1997/05/29', '05/29/1997', '29/05/1997']"
2095,November,28,"['28 Nov 2095', '2095/11/28', '28/11/2095', '28-11-2095', '28th November, 2095']"
1948,July,17,"['1948-07-17', '17-07-1948', '1948/07/17', '07/17/1948', '17 Jul 1948', '17th July, 1948', '17/07/1948', 'July 17th, 1948']"
1903,March,21,"['March 21st, 1903', '21/03/1903']"
2099,September,20,"['September 20th, 2099']"
1924,July,31,"['31/07/1924', '31st July, 1924', '31-07-1924', '31 Jul 1924', '07/31/1924']"
1972,April,18,"['04/18/1972', '1972/04/18', '1972-04-18', '18-04-1972', '18th April, 1972', '18 Apr 1972', '18/04/1972', 'April 18th, 1972']"
2066,May,29,['2066-05-29']
1909,March,20,"['March 20th, 1909', '1909-03-20', '20th March, 1909', '03/20/1909', '20 Mar 1909', '1909/03/20', '20-03-1909', '20/03/1909']"
1972,September,29,"['29 Sep 1972', 'September 29th, 1972', '09/29/1972', '1972/09/29', '1972-09-29']"
2098,May,24,"['24th May, 2098']"
1982,July,31,"['31 Jul 1982', '1982-07-31', 'July 31st, 1982', '31-07-1982', '07/31/1982', '31st July, 1982']"
1990,March,21,"['1990-03-21', '1990/03/21', 'March 21st, 1990', '21-03-1990', '21/03/1990', '21st March, 1990', '21 Mar 1990']"
2053,March,25,"['25th March, 2053', '2053/03/25', '25 Mar 2053', 'March 25th, 2053']"
2054,May,1,"['01/05/2054', '2054/05/01', '1st May, 2054', 'May 1st, 2054', '2054-05-01', '05/01/2054', '01 May 2054']"
2079,October,17,"['17th October, 2079']"
2073,September,12,"['2073/09/12', '09/12/2073']"
2052,September,17,"['17/09/2052', 'September 17th, 2052', '17-09-2052', '2052-09-17']"
2083,June,9,"['09 Jun 2083', '9th June, 2083', '2083/06/09', '09-06-2083', '2083-06-09', 'June 9th, 2083']"
2074,May,3,"['2074-05-03', 'May 3rd, 2074', '03-05-2074', '2074/05/03', '3rd May, 2074', '03 May 2074']"
2021,October,21,"['21 Oct 2021', '2021/10/21', '21/10/2021', '2021-10-21', '21st October, 2021', '21-10-2021', '10/21/2021']"
1979,March,13,"['1979/03/13', '1979-03-13', '13th March, 1979', '03/13/1979']"
2089,July,26,"['26-07-2089', '26th July, 2089', '26 Jul 2089', '26/07/2089']"
2058,July,10,"['10/07/2058', '2058/07/10', '10 Jul 2058', '07/10/2058', '2058-07-10', '10th July, 2058', '10-07-2058', 'July 10th, 2058']"
1937,May,22,"['22-05-1937', '1937-05-22', '22 May 1937', '05/22/1937', '22nd May, 1937', '1937/05/22']"
2025,April,7,"['07-04-2025', '07/04/2025', '2025-04-07', '04/07/2025', '07 Apr 2025', '7th April, 2025']"
2089,October,16,"['2089-10-16', '16-10-2089', '16/10/2089', '10/16/2089', '2089/10/16', '16th October, 2089', '16 Oct 2089']"
1932,December,11,"['1932-12-11', '11-12-1932', '11th December, 1932', '1932/12/11', 'December 11th, 1932', '11/12/1932', '11 Dec 1932', '12/11/1932']"
2008,March,4,"['03/04/2008', '4th March, 2008', '2008-03-04', '04/03/2008']"
1914,August,26,"['26-08-1914', '26 Aug 1914', 'August 26th, 1914', '1914/08/26', '1914-08-26', '26th August, 1914', '26/08/1914', '08/26/1914']"
1961,March,18,"['18-03-1961', '18th March, 1961', '18/03/1961', 'March 18th, 1961', '1961-03-18', '18 Mar 1961', '03/18/1961', '1961/03/18']"
2028,October,25,"['2028-10-25', '25-10-2028', '25th October, 2028', '2028/10/25']"
1909,June,16,"['06/16/1909', '1909/06/16', '16 Jun 1909', '16th June, 1909', '16/06/1909', '1909-06-16', 'June 16th, 1909']"
1936,May,23,"['23rd May, 1936', 'May 23rd, 1936', '23 May 1936']"
2064,December,9,"['09/12/2064', '09-12-2064', '12/09/2064', '2064/12/09', 'December 9th, 2064', '9th December, 2064', '09 Dec 2064', '2064-12-09']"
1918,October,17,"['17th October, 1918']"
1953,February,2,"['February 2nd, 1953', '1953-02-02']"
2072,October,31,"['31/10/2072', '2072-10-31', '31st October, 2072', 'October 31st, 2072', '31 Oct 2072', '10/31/2072', '2072/10/31', '31-10-2072']"
1924,March,10,"['10 Mar 1924', '10/03/1924', '03/10/1924', '1924-03-10', '1924/03/10', '10-03-1924']"
1984,April,22,"['22 Apr 1984', '22/04/1984', 'April 22nd, 1984', '22nd April, 1984', '04/22/1984', '1984-04-22', '1984/04/22', '22-04-1984']"
2008,January,21,"['2008/01/21', '21/01/2008', '21 Jan 2008', '21-01-2008', 'January 21st, 2008', '01/21/2008']"
2048,May,14,"['2048-05-14', 'May 14th, 2048', '14/05/2048', '14 May 2048']"
2058,June,4,"['04-06-2058', '06/04/2058', '2058-06-04', '4th June, 2058', '04 Jun 2058']"
1953,March,28,"['28th March, 1953', '03/28/1953', '28/03/1953']"
2014,November,25,"['25 Nov 2014', '25-11-2014', '2014-11-25', '2014/11/25', '25/11/2014', '25th November, 2014', '11/25/2014']"
2081,August,23,"['August 23rd, 2081', '23rd August, 2081', '23/08/2081', '2081-08-23', '2081/08/23']"
1982,December,24,"['24/12/1982', '12/24/1982', '1982-12-24', 'December 24th, 1982', '24-12-1982', '24th December, 1982', '24 Dec 1982']"
1911,December,22,"['22nd December, 1911', 'December 22nd, 1911', '1911/12/22', '22 Dec 1911', '1911-12-22', '22/12/1911']"
2034,May,13,"['13-05-2034', '05/13/2034', '13 May 2034']"
2053,May,19,['19-05-2053']
1925,March,30,"['30-03-1925', '1925/03/30', '1925-03-30', '30 Mar 1925', '30/03/1925', 'March 30th, 1925', '30th March, 1925', '03/30/1925']"
2042,April,1,"['01/04/2042', '2042-04-01']"
2000,February,23,"['23rd February, 2000', '2000/02/23']"
2055,April,27,"['04/27/2055', '27/04/2055', '27th April, 2055', '2055-04-27', '27-04-2055', '2055/04/27', 'April 27th, 2055']"
2098,February,18,"['2098/02/18', '02/18/2098', '18-02-2098', '18 Feb 2098', '18th February, 2098', 'February 18th, 2098', '2098-02-18', '18/02/2098']"
2092,July,18,"['07/18/2092', 'July 18th, 2092']"
1987,November,12,"['12th November, 1987']"
2090,September,26,"['September 26th, 2090', '26-09-2090', '2090/09/26', '09/26/2090']"
2035,May,25,"['May 25th, 2035', '25th May, 2035', '25-05-2035', '2035/05/25', '25/05/2035', '25 May 2035', '05/25/2035']"
1945,March,26,"['26-03-1945', '1945/03/26', '26th March, 1945', '26/03/1945', 'March 26th, 1945', '1945-03-26', '26 Mar 1945', '03/26/1945']"
2031,January,22,"['January 22nd, 2031', '2031-01-22', '22nd January, 2031', '22-01-2031', '22 Jan 2031', '01/22/2031']"
2075,December,31,"['2075-12-31', '12/31/2075']"
1914,July,23,"['1914/07/23', '23/07/1914', '23-07-1914', '1914-07-23', 'July 23rd, 1914', '23 Jul 1914', '07/23/1914', '23rd July, 1914']"
1900,August,20,"['08/20/1900', '20-08-1900', 'August 20th, 1900', '20th August, 1900', '20/08/1900', '20 Aug 1900', '1900/08/20', '1900-08-20']"
1930,December,28,"['28th December, 1930']"
2032,July,21,"['07/21/2032', '2032/07/21', 'July 21st, 2032']"
1940,December,21,['21/12/1940']
2014,August,1,['08/01/2014']
1917,March,14,['1917/03/14']
1936,November,19,"['November 19th, 1936']"
1920,March,19,"['19th March, 1920', '03/19/1920', 'March 19th, 1920']"
